ChanID 	 PedRMS(pes) 	 DarkNoise Rate 
1000	0.10446	0.0257535
1001	0.103962	0.0322743
1002	0.103042	0.0236431
1003	0.0821975	0.0199833
1004	0.111685	0.0462628
1005	0.114806	0.0449432
1006	0.140662	0.0393192
1007	0.141463	0.0102044
1008	0.0993692	0.035403
1009	0.0942724	0.0205951
1010	0.105447	0.0342098
1011	0.103214	0.0311858
1012	0.136672	0.00942641
1013	0.140378	0.00746101
1014	0.14449	0.0592247
1015	0.124766	0.0381668
1016	0.100726	0.0538426
1017	0.0996581	0.0301906
1018	0.100633	0.023913
1019	0.101891	0.0419919
1020	0.115315	0.0410703
1021	0.113004	0.0269385
1022	0.114134	0.0296621
1023	0.114377	0.0282528
1024	0.0983761	0.0380351
1025	0.0674225	0.0267802
1026	0.10057	0.0399367
1027	0.10327	0.0558866
1028	0.112321	0.0479202
1030	0.112508	0.0218031
1031	0.097997	0.0321235
1032	0.0972421	0.0267321
1033	0.0842229	0.0291232
1034	0.0981114	0.0506452
1035	0.0650621	0.038624
1036	0.089621	0.0241248
1037	0.0878198	0.0321532
1038	0.0883122	0.028992
1039	0.089401	0.0208639
1040	0.0756862	0.0307549
1041	0.0982164	0.0346099
1042	0.0936353	0.0266578
1043	0.095934	0.0268727
1044	0.0886047	0.0224821
1045	0.0876567	0.0288344
1046	0.0923691	0.0592881
1047	0.0889723	0.0262463
1048	0.0947686	0.0349582
1049	0.0950701	0.0271086
1050	0.0965503	0.0552594
1051	0.0962659	0.0357014
1052	0.0703518	0.046021
1053	0.0922315	0.026032
1054	0.0898578	0.0312301
1055	0.0927171	0.0662235
1056	0.0722184	0.0421457
1057	0.0944728	0.0311071
1058	0.0962147	0.0631466
1059	0.0944231	0.0259474
1060	0.1003	0.0359656
1061	0.0933976	0.040383
1062	0.0674526	0.0238388
1063	0.0906111	0.0277826
2000	0.0970636	0.0236937
2001	0.096531	0.0197061
2002	0.0496239	0.0658506
2003	0.0751414	0.0247175
2004	0.0962975	0.0417487
2005	0.0994776	0.0451934
2006	0.122244	0.0230691
2007	0.121149	0.0355368
2008	0.0950473	0.0137439
2009	0.0969999	0.0381329
2010	0.0940416	0.0229403
2011	0.0969487	0.0319356
2012	0.120561	0.0425872
2013	0.124779	0.0326093
2014	0.12185	0.0360291
2015	0.122928	0.00526534
2016	0.0958019	0.0280743
2017	0.0966829	0.0338535
2018	0.0960429	0.0146736
2019	0.0974662	0.0443681
2020	0.0830869	0.0266831
2021	0.104101	0.0446543
2022	0.106819	0.0552378
2023	0.103178	0.0199218
2024	0.0937953	0.0378531
2025	0.0959964	0.0403561
2026	0.0970078	0.0313823
2027	0.1023	0.0429596
2028	0.100902	0.0128768
2029	0.103085	0.0209409
2030	0.105398	0.0566086
2031	0.104381	0.0294866
2032	0.0950764	0.0390574
2033	0.0958146	0.00968096
2034	0.0959485	0.0499734
2035	0.0977903	0.043496
2036	0.0823673	0.0376124
2037	0.0813124	0.0374313
2038	0.0813856	0.0403523
2039	0.0829205	0.0323299
2040	0.0977064	0.0686522
2041	0.0976419	0.0342165
2042	0.0937144	0.0798857
2043	0.087167	0.0465318
2044	0.0811667	0.019703
2045	0.0835454	0.0435373
2046	0.0825858	0.0216096
2047	0.0827716	0.0501165
2048	0.0908453	0.027585
2049	0.0907808	0.0111274
2050	0.0885444	0.0155032
2051	0.0904951	0.0291815
2052	0.0856373	0.0347515
2053	0.0872084	0.0542826
2054	0.0612115	0.0769533
2055	0.0825151	0.0201253
2056	0.0916822	0.0611614
2057	0.0879691	0.00146144
2058	0.0901047	0.0171203
2059	0.0899033	0.00845388
2060	0.0898486	0.031867
2061	0.0851672	0.0537522
2062	0.0823291	0.0137517
2063	0.0818461	0.0145947
3000	0.0785507	0.053778
