Energy	Compton	Photoelectric
1.000E-03	4.417E-03	9.403E+03	
1.072E-03	4.969E-03	8.133E+03	
1.149E-03	5.582E-03	7.032E+03	
1.149E-03	5.582E-03	7.334E+03	
1.500E-03	8.522E-03	4.077E+03	
2.000E-03	1.285E-02	2.080E+03	
3.000E-03	2.123E-02	7.715E+02	
4.000E-03	2.874E-02	3.730E+02	
4.782E-03	3.383E-02	2.357E+02	
4.782E-03	3.383E-02	6.890E+02	
5.000E-03	3.515E-02	6.344E+02	
5.104E-03	3.577E-02	5.995E+02	
5.104E-03	3.577E-02	8.133E+02	
5.275E-03	3.677E-02	7.515E+02	
5.453E-03	3.777E-02	6.945E+02	
5.453E-03	3.777E-02	8.018E+02	
6.000E-03	4.071E-02	6.330E+02	
8.000E-03	5.027E-02	2.998E+02	
1.000E-02	5.848E-02	1.662E+02	
1.500E-02	7.440E-02	5.550E+01	
2.000E-02	8.486E-02	2.510E+01	
3.000E-02	9.729E-02	8.078E+00	
3.456E-02	1.008E-01	5.417E+00	
3.456E-02	1.008E-01	3.244E+01	
4.000E-02	1.038E-01	2.211E+01	
5.000E-02	1.073E-01	1.227E+01	
6.000E-02	1.091E-01	7.454E+00	
8.000E-02	1.096E-01	3.363E+00	
1.000E-01	1.081E-01	1.793E+00	
1.500E-01	1.019E-01	5.651E-01	
2.000E-01	9.555E-02	2.490E-01	
3.000E-01	8.495E-02	8.009E-02	
4.000E-01	7.688E-02	3.699E-02	
5.000E-01	7.064E-02	2.088E-02	
6.000E-01	6.559E-02	1.338E-02	
8.000E-01	5.784E-02	6.940E-03	
1.000E+00	5.211E-02	4.335E-03	
1.022E+00	5.156E-02	4.126E-03	
1.250E+00	4.665E-02	2.782E-03	
1.500E+00	4.244E-02	1.991E-03	
2.000E+00	3.625E-02	1.211E-03	
2.044E+00	3.580E-02	1.169E-03	
3.000E+00	2.854E-02	6.422E-04	
4.000E+00	2.381E-02	4.250E-04	
5.000E+00	2.057E-02	3.142E-04	
6.000E+00	1.818E-02	2.478E-04	
7.000E+00	1.634E-02	2.040E-04	
8.000E+00	1.488E-02	1.731E-04	
9.000E+00	1.367E-02	1.501E-04	
1.000E+01	1.267E-02	1.324E-04	
1.100E+01	1.182E-02	1.184E-04	
1.200E+01	1.108E-02	1.071E-04	
1.300E+01	1.044E-02	9.766E-05	
1.400E+01	9.876E-03	8.972E-05	
1.500E+01	9.376E-03	8.302E-05	
1.600E+01	8.931E-03	7.720E-05	
1.800E+01	8.160E-03	6.770E-05	
2.000E+01	7.527E-03	6.032E-05	
2.200E+01	6.990E-03	5.435E-05	
2.400E+01	6.532E-03	4.945E-05	
2.600E+01	6.133E-03	4.535E-05	
2.800E+01	5.789E-03	4.188E-05	
3.000E+01	5.481E-03	3.891E-05	
4.000E+01	4.354E-03	2.870E-05	
5.000E+01	3.635E-03	2.272E-05	
6.000E+01	3.132E-03	1.881E-05	
8.000E+01	2.470E-03	1.399E-05	
1.000E+02	2.050E-03	1.113E-05	
1.500E+02	1.460E-03	7.371E-06	
2.000E+02	1.144E-03	5.509E-06	
3.000E+02	8.114E-04	3.659E-06	
4.000E+02	6.353E-04	2.739E-06	
5.000E+02	5.261E-04	2.189E-06	
6.000E+02	4.503E-04	1.823E-06	
8.000E+02	3.517E-04	1.366E-06	
1.000E+03	2.893E-04	1.092E-06	
1.500E+03	2.021E-04	7.275E-07	
2.000E+03	1.564E-04	5.454E-07	
3.000E+03	1.088E-04	3.636E-07	
4.000E+03	8.394E-05	2.726E-07	
5.000E+03	6.862E-05	2.181E-07	
6.000E+03	5.821E-05	1.817E-07	
8.000E+03	4.484E-05	1.363E-07	
1.000E+04	3.661E-05	1.090E-07	
1.500E+04	2.530E-05	7.266E-08	
2.000E+04	1.945E-05	5.449E-08	
3.000E+04	1.342E-05	3.633E-08	
4.000E+04	1.030E-05	2.725E-08	
5.000E+04	8.385E-06	2.180E-08	
6.000E+04	7.091E-06	1.817E-08	
8.000E+04	5.435E-06	1.362E-08	
1.000E+05	4.423E-06	1.090E-08	
